code_uic,nom,commune,departement,lat,lon,paris_min,paris_gare
87746735,Viaduc-Ste-Marie,Les Houches,HAUTE-SAVOIE,45.897082,6.785063,,
87276568,Viarmes,Viarmes,VAL-D'OISE,49.116695,2.368521,,
87781260,Vias,Vias,HERAULT,43.316073,3.425535,,
87773531,Vic-Mireval,Vic-La-Gardiole,HERAULT,43.500777,3.79952,,
87734186,Vic-le-Comte,Vic-Le-Comte,PUY-DE-DOME,45.664928,3.206926,,
87645440,Vic-sur-Cère,Vic-Sur-Cere,CANTAL,44.975829,2.631607,,
87732008,Vichy,Vichy,ALLIER,46.126839,3.430725,,
87755421,Vidauban,Vidauban,VAR,43.432452,6.43329,,
87597633,Vieilleville,Mourioux-Vieilleville,CREUSE,46.091205,1.673569,,
87615492,Vielmur-sur-Agout,Vielmur-Sur-Agout,TARN,43.6241,2.089417,,
87722587,Vienne,Vienne,ISERE,45.520064,4.873122,,
87576090,Vierzon-Forges,Vierzon,CHER,47.212583,2.097061,,
87576009,Vierzon-Ville,Vierzon,CHER,47.227309,2.057635,,
87271783,Vierzy,Vierzy,AISNE,49.291054,3.27759,,
87182550,Vieux-Thann,Vieux-Thann,HAUT-RHIN,47.805315,7.120561,,
87181289,Vieux-Thann ZI,Vieux-Thann,HAUT-RHIN,47.80207,7.132892,,
87747576,Vif,Vif,ISERE,45.047598,5.685185,,
87594218,Vigeois,Vigeois,CORREZE,45.382694,1.514969,,
87681304,Vigneux-sur-Seine,Vigneux-Sur-Seine,ESSONNE,48.708429,2.414485,,
87594655,Vignols-St-Solve,Saint-Solve,CORREZE,45.312991,1.39762,,
87142232,Vignory,Vignory,HAUTE-MARNE,48.270581,5.124169,,
87681619,Villabé,Villabe,ESSONNE,48.592646,2.461828,,
87272021,Villaines,Villaines-Sous-Bois,VAL-D'OISE,49.078521,2.349186,,
87723759,Villars-les-Dombes,Villars-Les-Dombes,AIN,46.004247,5.028308,,
87447698,Villedieu-les-Poêles,Villedieu-Les-Poeles-Rouffigny,MANCHE,48.833945,-1.224017,,
87775197,Villefort,Villefort,LOZERE,44.439462,3.924035,,
87784686,Villefranche-Vernet-les-Bains,Corneilla-De-Conflent,PYRENEES-ORIENTALES,42.595725,2.375377,,
87615013,Villefranche-de-Lauragais,Villefranche-De-Lauragais,HAUTE-GARONNE,43.400948,1.712222,,
87613893,Villefranche-de-Rouergue,Villefranche-De-Rouergue,AVEYRON,44.347749,2.037331,,
87595892,Villefranche-du-Périgord,Loubejac,DORDOGNE,44.626952,1.04916,,
87576884,Villefranche-sur-Cher,Villefranche-Sur-Cher,LOIR-ET-CHER,47.294945,1.768872,,
87756361,Villefranche-sur-Mer,Villefranche-Sur-Mer,ALPES-MARITIMES,43.707001,7.314607,,
87721332,Villefranche-sur-Saône,Villefranche-Sur-Saone,RHONE,45.983595,4.720842,,
87673616,Villefranque,Villefranque,PYRENEES-ATLANTIQUES,43.431475,-1.456459,,
87576165,Villeherviers,Villeherviers,LOIR-ET-CHER,47.369371,1.797307,,
87581835,Villenave-d'Ornon,Villenave-D'Ornon,GIRONDE,44.768653,-0.547485,,
87756304,Villeneuve-Loubet-Plage,Villeneuve-Loubet,ALPES-MARITIMES,43.629815,7.134411,,
